horizon,bias,w,val_mae_final
1,-0.35933220386505127,0.33,0.6187199644185413
2,-0.30582690238952637,0.68,0.8455499480991145
3,-0.26702940464019775,0.75,0.9140922656263759
4,-0.26669295877218246,0.77,0.9487954742658372
5,-0.27800667285918834,0.73,0.9637316257036747
6,-0.26000893115997314,0.76,0.978285143750264
7,-0.26800811290740967,0.8,0.9920754808721314
