horizon,bias,w,val_mae_final
1,-0.25126752257347107,0.36,0.498547813854404
2,-0.1987421214580536,0.6,0.6012202896723043
3,-0.22095787525177002,0.7000000000000001,0.6365306642344662
4,-0.23881369829177856,0.73,0.6541392537882411
5,-0.30382776260375977,0.72,0.6768989947907048
6,-0.33698752522468567,0.67,0.68581419363469
7,-0.3773318827152252,0.74,0.7007024892858986
