horizon,bias,w,val_mae_final
1,-0.1494140625,0.2,4.8035738237499634
2,0.0783538818359375,0.42,6.3332722203955125
3,0.34572601318359375,0.56,6.807354084889759
4,0.4137115478515625,0.59,6.945192598362375
5,0.419219970703125,0.67,7.113135436756698
6,0.468475341796875,0.6,7.139664945894631
7,0.420074462890625,0.61,7.0576436634116835
