doy_int,clim
1,16.516666666666666
2,17.076041666666665
3,16.36875
4,17.8
5,18.562499999999996
6,19.538541666666667
7,18.057291666666668
8,17.191666666666666
9,16.536458333333332
10,16.478125
11,16.461458333333333
12,16.602083333333333
13,17.918750000000003
14,18.788541666666667
15,18.429166666666664
16,17.603125
17,15.651041666666666
18,16.378124999999997
19,16.766666666666666
20,17.25
21,16.644791666666666
22,16.485416666666666
23,16.930208333333333
24,16.566666666666666
25,16.205208333333335
26,17.171875
27,16.81875
28,16.296875
29,15.419791666666667
30,15.255208333333332
31,16.271875
32,17.9375
33,18.77916666666667
34,18.85625
35,19.60729166666667
36,19.190624999999997
37,18.92083333333333
38,18.916666666666668
39,17.832291666666666
40,16.370833333333334
41,17.967708333333334
42,19.177083333333332
43,19.20104166666667
44,19.047916666666666
45,18.511458333333334
46,18.430208333333333
47,18.791666666666668
48,19.461458333333333
49,21.165625
50,19.1125
51,18.389583333333334
52,19.370833333333334
53,19.311458333333334
54,18.351041666666667
55,16.711458333333333
56,17.15833333333333
57,17.84375
58,16.494791666666668
59,17.57395833333333
60,19.180208333333333
61,18.778125
62,18.334375
63,19.089583333333334
64,21.081944444444442
65,22.293055555555554
66,21.0875
67,21.002777777777776
68,21.624999999999996
69,22.23333333333333
70,22.368055555555557
71,22.65138888888889
72,21.01388888888889
73,21.563888888888886
74,22.722222222222218
75,23.099999999999998
76,23.712500000000002
77,23.95277777777778
78,24.068055555555556
79,24.8875
80,23.6875
81,24.0125
82,21.440277777777776
83,21.933333333333334
84,23.294444444444448
85,23.286111111111108
86,21.649999999999995
87,21.133333333333333
88,22.155555555555555
89,23.37222222222222
90,24.45138888888889
91,22.888888888888886
92,23.165277777777778
93,23.26388888888889
94,23.380555555555556
95,23.30138888888889
96,23.816666666666666
97,23.754166666666666
98,22.527777777777775
99,20.787499999999998
100,21.877777777777776
101,24.045833333333334
102,24.956944444444446
103,25.424999999999997
104,25.668055555555554
105,25.641666666666666
106,24.766666666666666
107,22.15416666666667
108,22.79583333333333
109,24.568055555555556
110,25.034722222222218
111,25.736111111111114
112,26.89583333333333
113,27.420833333333334
114,27.487499999999997
115,25.790277777777778
116,24.96388888888889
117,24.977777777777778
118,25.804166666666664
119,24.77638888888889
120,24.165277777777778
121,23.254166666666666
122,24.633333333333336
123,25.833333333333332
124,26.819444444444443
125,26.6125
126,27.623611111111114
127,27.97638888888889
128,26.165277777777778
129,26.5
130,27.641666666666666
131,27.602777777777778
132,26.979166666666668
133,26.05694444444444
134,26.255555555555556
135,26.906944444444445
136,27.013888888888886
137,27.930555555555554
138,28.212500000000002
139,28.90138888888889
140,29.251388888888886
141,29.129166666666663
142,29.615277777777777
143,28.575
144,26.66666666666666
145,26.537499999999998
146,27.931944444444444
147,27.974999999999998
148,28.16944444444444
149,29.08611111111111
150,29.597222222222225
151,29.522222222222222
152,30.73472222222222
153,31.218055555555555
154,31.00277777777778
155,29.019444444444446
156,28.881944444444443
157,27.736111111111114
158,27.74722222222222
159,27.645833333333332
160,27.793055555555554
161,28.852777777777778
162,28.206944444444446
163,29.097222222222218
164,28.53055555555555
165,27.8
166,28.563888888888886
167,29.697222222222223
168,30.815277777777776
169,30.63611111111111
170,31.14166666666667
171,31.615277777777777
172,31.70277777777778
173,30.4875
174,28.436111111111114
175,28.38611111111111
176,28.170833333333334
177,28.479166666666668
178,30.0625
179,30.679166666666664
180,30.045833333333334
181,29.980555555555554
182,30.28611111111111
183,30.772222222222222
184,30.652777777777775
185,30.60694444444444
186,29.656944444444445
187,29.641666666666666
188,29.28333333333333
189,28.47638888888889
190,28.556944444444444
191,28.98333333333333
192,29.479166666666668
193,29.820833333333336
194,29.72083333333333
195,29.53888888888889
196,29.108333333333334
197,30.03888888888889
198,31.10138888888889
199,29.618055555555557
200,28.404166666666665
201,27.413888888888888
202,27.834722222222226
203,28.04444444444444
204,28.29861111111111
205,29.287499999999998
206,29.679166666666664
207,29.727777777777778
208,30.122222222222224
209,29.552777777777777
210,29.630555555555556
211,28.915277777777778
212,28.727777777777778
213,27.491666666666664
214,28.48611111111111
215,29.0
216,29.394444444444446
217,28.895833333333332
218,28.684722222222224
219,28.959722222222222
220,28.7375
221,28.918055555555554
222,28.159722222222225
223,27.11388888888889
224,27.155555555555555
225,28.351388888888888
226,28.427777777777777
227,27.722222222222225
228,28.75277777777778
229,29.440277777777776
230,29.630555555555556
231,28.329166666666666
232,27.455555555555552
233,28.295833333333334
234,29.418055555555554
235,29.479166666666668
236,28.40416666666667
237,28.13888888888889
238,27.798611111111114
239,28.365277777777777
240,27.826388888888886
241,28.15138888888889
242,28.28611111111111
243,28.530555555555555
244,27.849999999999998
245,28.395833333333332
246,27.58055555555556
247,27.16944444444444
248,27.92361111111111
249,28.48888888888889
250,28.258333333333336
251,26.611111111111114
252,26.55
253,27.57777777777778
254,28.205555555555552
255,28.177777777777777
256,27.659722222222225
257,26.498611111111114
258,26.620833333333334
259,26.52361111111111
260,26.865277777777777
261,27.977777777777778
262,28.60972222222222
263,28.32777777777778
264,27.534722222222218
265,26.590277777777775
266,27.334722222222222
267,26.569444444444443
268,26.11111111111111
269,26.23472222222222
270,26.558333333333334
271,26.208333333333332
272,26.583333333333332
273,27.194444444444446
274,27.005555555555556
275,27.025000000000002
276,27.0625
277,27.520833333333332
278,27.568055555555556
279,27.644444444444446
280,26.61111111111111
281,26.456944444444446
282,25.04583333333333
283,23.66111111111111
284,23.212499999999995
285,23.729166666666668
286,23.80138888888889
287,23.327777777777772
288,23.284722222222218
289,23.543055555555554
290,24.058333333333334
291,23.305555555555554
292,23.10694444444444
293,23.659722222222225
294,22.3625
295,22.724999999999994
296,23.427777777777777
297,23.98194444444444
298,24.5625
299,24.70416666666667
300,25.28611111111111
301,24.56527777777778
302,23.456944444444442
303,23.206944444444446
304,23.33611111111111
305,23.036111111111108
306,22.79722222222222
307,23.78611111111111
308,24.936111111111114
309,25.32361111111111
310,24.581944444444446
311,23.95
312,22.104166666666668
313,22.75
314,23.29444444444444
315,23.619444444444444
316,23.65138888888889
317,20.648611111111112
318,20.965277777777775
319,21.980555555555554
320,22.04861111111111
321,21.95555555555556
322,21.431944444444444
323,21.390277777777772
324,22.476388888888888
325,23.052777777777777
326,21.712499999999995
327,21.42083333333333
328,21.140277777777776
329,21.041666666666668
330,21.808333333333326
331,23.043055555555554
332,22.76388888888889
333,23.445833333333336
334,22.652777777777775
335,17.26388888888889
336,16.13472222222222
337,17.243055555555557
338,17.647222222222222
339,17.88333333333333
340,17.75972222222222
341,17.625
342,18.706944444444442
343,19.755555555555556
344,20.791666666666668
345,20.90416666666667
346,20.626388888888886
347,19.036111111111115
348,19.304166666666667
349,19.498611111111114
350,18.752777777777776
351,16.851388888888888
352,15.9375
353,14.644444444444446
354,15.823611111111111
355,16.790277777777778
356,15.77222222222222
357,16.565277777777776
358,16.87361111111111
359,17.258333333333333
360,16.88472222222222
361,16.086111111111112
362,15.690277777777778
363,16.241666666666667
364,16.666666666666668
365,17.468055555555555
366,17.468055555555555
