doy_int,clim
1,20.809375
2,21.624999999999996
3,21.7875
4,21.986458333333335
5,22.053124999999998
6,21.901041666666664
7,21.601041666666667
8,21.60520833333333
9,22.0875
10,22.210416666666667
11,21.972916666666666
12,21.246874999999996
13,20.894791666666666
14,21.347916666666663
15,21.60625
16,21.938541666666666
17,21.86145833333333
18,21.303124999999998
19,20.958333333333332
20,21.65625
21,22.234375
22,23.034374999999997
23,23.125
24,22.958333333333332
25,22.282291666666666
26,22.167708333333334
27,22.403125
28,22.030208333333334
29,21.633333333333333
30,21.56458333333333
31,22.847916666666663
32,23.5625
33,23.70833333333333
34,23.741666666666667
35,23.633333333333333
36,23.958333333333332
37,23.547916666666666
38,24.683333333333334
39,24.826041666666665
40,24.788541666666667
41,24.139583333333334
42,23.53125
43,23.396874999999998
44,23.601041666666667
45,23.854166666666664
46,23.403125
47,23.438541666666666
48,23.54375
49,24.0625
50,24.37083333333333
51,23.84583333333333
52,23.444791666666667
53,23.448958333333337
54,23.293749999999996
55,22.789583333333333
56,23.094791666666666
57,23.788541666666667
58,23.984375
59,24.23229166666667
60,25.030208333333334
61,24.389583333333334
62,23.76875
63,24.41770833333333
64,25.035416666666666
65,24.840277777777782
66,24.28888888888889
67,23.53611111111111
68,23.29722222222222
69,23.411111111111108
70,23.862499999999997
71,23.876388888888886
72,24.19861111111111
73,24.652777777777782
74,25.268055555555552
75,25.55138888888889
76,26.05
77,26.308333333333334
78,26.784722222222218
79,27.11388888888889
80,27.041666666666668
81,26.38472222222222
82,26.32361111111111
83,26.344444444444445
84,26.852777777777778
85,27.094444444444445
86,27.379166666666666
87,26.872222222222224
88,26.861111111111114
89,26.794444444444448
90,26.263888888888886
91,26.829166666666666
92,26.59583333333333
93,25.974999999999998
94,25.918055555555554
95,25.73194444444444
96,26.22083333333333
97,26.11111111111111
98,25.563888888888886
99,25.78333333333333
100,26.16944444444444
101,26.79444444444444
102,27.108333333333334
103,27.905555555555555
104,27.349999999999998
105,27.09166666666667
106,26.349999999999998
107,26.430555555555554
108,26.70277777777778
109,26.147222222222222
110,26.20555555555556
111,26.559722222222224
112,27.052777777777777
113,27.144444444444442
114,27.298611111111114
115,27.141666666666666
116,26.855555555555554
117,27.204166666666666
118,27.68472222222222
119,26.468055555555555
120,26.304166666666664
121,26.059722222222224
122,26.554166666666664
123,27.161111111111108
124,27.380555555555556
125,27.644444444444446
126,27.909722222222218
127,27.338888888888885
128,27.024999999999995
129,26.82777777777778
130,27.108333333333334
131,26.780555555555555
132,25.936111111111114
133,26.616666666666664
134,26.293055555555554
135,26.599999999999998
136,26.308333333333326
137,26.09305555555555
138,26.130555555555556
139,26.075
140,26.495833333333334
141,25.93472222222222
142,25.638888888888886
143,25.243055555555557
144,25.466666666666665
145,24.95
146,24.391666666666666
147,24.787499999999998
148,25.308333333333334
149,25.352777777777778
150,25.805555555555554
151,25.902777777777782
152,25.59166666666667
153,25.563888888888886
154,25.558333333333334
155,25.287499999999998
156,25.430555555555557
157,25.13333333333333
158,25.373611111111114
159,25.359722222222217
160,25.520833333333332
161,24.93194444444444
162,24.92638888888889
163,24.924999999999997
164,25.63611111111111
165,25.88611111111111
166,25.377777777777776
167,25.063888888888886
168,25.09583333333333
169,25.513888888888886
170,25.715277777777775
171,25.777777777777782
172,25.554166666666664
173,25.11388888888889
174,25.329166666666666
175,25.274999999999995
176,25.477777777777778
177,25.72361111111111
178,25.758333333333336
179,25.58611111111111
180,25.659722222222218
181,25.227777777777778
182,25.40416666666667
183,25.65833333333333
184,26.009722222222223
185,25.715277777777775
186,25.454166666666666
187,25.056944444444444
188,25.325
189,24.938888888888886
190,24.125
191,24.694444444444443
192,24.820833333333336
193,25.112499999999997
194,24.754166666666666
195,24.465277777777775
196,24.715277777777782
197,24.248611111111114
198,24.380555555555556
199,24.395833333333332
200,24.397222222222222
201,24.59166666666667
202,24.631944444444443
203,24.852777777777778
204,24.894444444444442
205,25.07777777777778
206,25.134722222222223
207,25.215277777777775
208,24.93472222222222
209,25.248611111111114
210,25.19861111111111
211,24.918055555555554
212,24.96388888888889
213,24.756944444444446
214,24.979166666666668
215,25.16944444444444
216,24.9875
217,25.524999999999995
218,25.354166666666668
219,25.3125
220,25.08611111111111
221,25.23194444444444
222,25.58611111111111
223,25.665277777777778
224,25.425
225,25.248611111111114
226,25.002777777777776
227,24.69861111111111
228,25.01111111111111
229,25.28333333333333
230,25.165277777777778
231,24.620833333333334
232,24.688888888888886
233,25.01111111111111
234,25.240277777777777
235,25.019444444444442
236,25.23888888888889
237,25.05138888888889
238,24.584722222222222
239,24.62222222222222
240,24.802777777777774
241,25.03333333333333
242,24.90416666666667
243,24.443055555555556
244,24.852777777777778
245,24.741666666666664
246,24.623611111111114
247,24.240277777777777
248,23.897222222222222
249,24.118055555555554
250,24.022222222222222
251,24.51527777777778
252,24.81527777777778
253,24.695833333333336
254,24.152777777777775
255,24.174999999999997
256,24.17638888888889
257,24.481944444444448
258,24.468055555555555
259,24.37222222222222
260,24.6375
261,24.29166666666666
262,23.608333333333334
263,24.27638888888889
264,24.706944444444446
265,24.451388888888886
266,23.827777777777772
267,23.505555555555556
268,23.59583333333333
269,24.24722222222222
270,24.1875
271,24.497222222222224
272,24.86666666666667
273,24.576388888888886
274,24.495833333333334
275,24.244444444444444
276,24.802777777777774
277,24.605555555555554
278,24.981944444444448
279,24.075
280,24.212500000000002
281,24.35138888888889
282,24.118055555555557
283,24.366666666666664
284,24.100000000000005
285,24.1875
286,23.241666666666664
287,23.225000000000005
288,23.64861111111111
289,23.686111111111114
290,23.733333333333334
291,24.575
292,24.933333333333334
293,24.976388888888888
294,24.515277777777772
295,24.729166666666668
296,24.009722222222223
297,24.227777777777778
298,23.955555555555552
299,24.175
300,23.340277777777775
301,24.46666666666667
302,24.52361111111111
303,24.23472222222222
304,24.256944444444443
305,24.368055555555557
306,24.259722222222223
307,24.40138888888889
308,24.751388888888886
309,24.833333333333332
310,24.969444444444445
311,24.076388888888886
312,24.665277777777778
313,24.57777777777778
314,24.347222222222225
315,24.236111111111114
316,23.861111111111114
317,24.025000000000002
318,24.23888888888889
319,24.509722222222223
320,24.19027777777778
321,24.474999999999998
322,23.666666666666668
323,22.784722222222218
324,22.6375
