horizon,bias,w,val_mae_final
1,-0.5002447366714478,0.34,0.6505227877605184
2,-0.5201014876365662,0.73,0.857209135497692
3,-0.5877687931060791,0.91,0.9343267584190028
4,-0.738366536796093,0.93,0.9375018906054566
5,-0.8426561951637268,0.93,0.9305421926389983
6,-0.8996903896331787,0.92,0.933573943754361
7,-0.9078547954559326,0.9500000000000001,0.9359525491980377
