horizon,bias,w,val_mae_final
1,0.058838605880737305,0.11,1.2271174143910828
2,-0.15589356422424316,0.84,1.761174635531084
3,-0.4553210735321045,1.0,1.898130622982958
4,-0.6438392046838999,1.0,1.9541509495243887
5,-0.7486951351165771,1.0,1.9228626378762605
6,-0.7860673069953918,1.0,1.8984490764952553
7,-0.8107522204518318,1.0,1.882398341901725
