target,mae_overall_final,mae_h1_final,mae_overall_baseline,mae_overall_raw,horizon,mae_final,mae_baseline,mae_raw
temp_avg,0.6591067736364649,0.4768181690012588,0.7968906124750137,0.7676516279311931,,,,
temp_avg,,,,,1.0,0.4768181690012588,0.4953352281474545,0.7019444390681305
temp_avg,,,,,2.0,0.6240042376005338,0.6953797194125123,0.7388698749437482
temp_avg,,,,,3.0,0.6800209294321284,0.8082085644269545,0.7663720610628065
temp_avg,,,,,4.0,0.7104110541116442,0.8907497677456986,0.7791265534726036
temp_avg,,,,,5.0,0.7152630054401322,0.9002582381764374,0.7879263296999649
temp_avg,,,,,6.0,0.7094665791556817,0.9142873717694626,0.7951305791181784
temp_avg,,,,,7.0,0.697763440713875,0.8740153976465758,0.8041915581529198
rh_avg,3.4248323302364487,2.9743089266806257,5.452679379705187,3.3180906657815883,,,,
rh_avg,,,,,1.0,2.9743089266806257,3.7692665199272706,3.1974706091920644
rh_avg,,,,,2.0,3.3832161566009096,4.82903888032961,3.2899708973664095
rh_avg,,,,,3.0,3.593076522104587,5.608519044980587,3.3527950297491134
rh_avg,,,,,4.0,3.566877258003257,5.806522744833149,3.3702887851215673
rh_avg,,,,,5.0,3.527723101772638,6.03389041868757,3.372166785024999
rh_avg,,,,,6.0,3.4643567544836187,6.072075177035956,3.337008962392143
rh_avg,,,,,7.0,3.4642675920095067,6.049442872142173,3.3069335916248206
