doy_int,clim
1,16.6
2,17.37291666666667
3,17.513541666666665
4,17.527083333333334
5,17.01875
6,17.335416666666667
7,17.31458333333333
8,17.188541666666666
9,17.032291666666666
10,17.172916666666666
11,16.73645833333333
12,16.338541666666664
13,16.41875
14,16.688541666666666
15,16.639583333333334
16,16.740624999999998
17,16.514583333333334
18,16.35520833333333
19,16.907291666666666
20,17.271875
21,17.5625
22,17.68333333333333
23,17.734375
24,17.413541666666667
25,16.81458333333333
26,17.578125
27,17.477083333333333
28,16.840625
29,16.360416666666666
30,16.83020833333333
31,17.384375
32,17.969791666666666
33,17.958333333333336
34,18.120833333333334
35,18.216666666666665
36,18.054166666666667
37,18.052083333333332
38,18.446875
39,18.315625
40,18.477083333333333
41,18.098958333333332
42,17.742708333333333
43,17.8125
44,17.820833333333333
45,17.93125
46,17.577083333333334
47,17.270833333333332
48,17.404166666666665
49,17.65416666666667
50,17.646875
51,17.2625
52,17.4625
53,17.93125
54,18.664583333333333
55,18.360416666666666
56,17.71458333333333
57,17.89270833333333
58,18.153124999999996
59,18.24375
60,18.717708333333334
61,18.940624999999997
62,18.644791666666666
63,18.55625
64,18.163541666666667
65,18.116666666666667
66,18.656944444444445
67,18.35972222222222
68,18.566666666666666
69,18.802777777777777
70,18.944444444444443
71,18.55138888888889
72,18.55
73,18.870833333333334
74,18.73194444444444
75,19.094444444444445
76,19.493055555555554
77,19.79583333333333
78,19.92361111111111
79,19.974999999999998
80,20.025
81,19.684722222222224
82,19.558333333333334
83,19.944444444444446
84,19.883333333333336
85,20.15
86,19.909722222222225
87,19.76111111111111
88,19.88888888888889
89,19.577777777777776
90,19.34861111111111
91,19.58888888888889
92,19.645833333333332
93,19.061111111111106
94,19.40833333333333
95,19.248611111111114
96,19.540277777777778
97,19.36111111111111
98,18.98194444444444
99,19.281944444444445
100,19.4375
101,19.566666666666666
102,19.695833333333336
103,19.952777777777776
104,20.02361111111111
105,20.018055555555552
106,19.291666666666664
107,19.516666666666666
108,19.61388888888889
109,19.818055555555556
110,19.833333333333332
111,19.85833333333333
112,19.76388888888889
113,19.881944444444446
114,19.944444444444443
115,20.216666666666665
116,20.104166666666664
117,19.915277777777774
118,19.591666666666665
119,18.929166666666664
120,18.772222222222222
121,19.51527777777778
122,19.68472222222222
123,19.695833333333333
124,20.03333333333333
125,20.10972222222222
126,20.290277777777778
127,20.162499999999998
128,19.788888888888888
129,19.758333333333336
130,19.772222222222222
131,19.780555555555555
132,19.959722222222222
133,20.004166666666666
134,19.78611111111111
135,20.090277777777775
136,20.087500000000002
137,19.9
138,19.924999999999997
139,19.84444444444444
140,19.825
141,19.70277777777778
142,19.506944444444443
143,19.466666666666665
144,19.608333333333334
145,19.251388888888886
146,19.015277777777776
147,19.07777777777778
148,19.1875
149,19.29861111111111
150,19.931944444444444
151,20.218055555555555
152,19.855555555555554
153,19.53611111111111
154,19.758333333333333
155,20.055555555555554
156,19.92361111111111
157,19.565277777777776
