target,mae_overall_final,mae_h1_final,mae_overall_baseline,mae_overall_raw,horizon,mae_final,mae_baseline,mae_raw
temp_avg,0.9748550544507597,0.6464300517511307,1.2029656869742107,0.9542135089916395,,,,
temp_avg,,,,,1.0,0.6464300517511307,0.6629816594630472,0.7860956475447376
temp_avg,,,,,2.0,0.9053510962821605,1.0260049099994737,0.8902908692766801
temp_avg,,,,,3.0,0.9958036422442053,1.2637534792803653,0.9584862878014305
temp_avg,,,,,4.0,1.0504460600917138,1.3564115187339716,0.9952260714950439
temp_avg,,,,,5.0,1.072632083541431,1.3918707419289733,1.0169899134927827
temp_avg,,,,,6.0,1.0765182523998682,1.3792198606174704,1.0206650815875604
temp_avg,,,,,7.0,1.0768041948448082,1.340517638796172,1.0117406917432412
rh_avg,3.196225597190832,2.742999535775782,4.965811204587706,3.2023822603783567,,,,
rh_avg,,,,,1.0,2.742999535775782,3.2356082027226325,2.8176272400242373
rh_avg,,,,,2.0,3.1078611035643635,4.4182916604044715,3.074241606305901
rh_avg,,,,,3.0,3.2858151262118622,5.042363130503932,3.2239424299064785
rh_avg,,,,,4.0,3.328758183783033,5.269498756004907,3.2775356537120257
rh_avg,,,,,5.0,3.3313115878446076,5.587859831148535,3.315582041620876
rh_avg,,,,,6.0,3.3037260375381505,5.695914726292743,3.3416985960723964
rh_avg,,,,,7.0,3.273107605618023,5.511142125036723,3.366048255006583
