horizon,bias,w,val_mae_final
1,1.1793212890625,0.52,2.6264418650337578
2,1.205535888671875,0.8,3.302523333337868
3,1.5129470825195312,0.84,3.4792169043524126
4,1.823974609375,0.87,3.5322765020584774
5,1.9249420166015625,0.86,3.539909864406179
6,1.9721450805664062,0.86,3.581046976569414
7,2.1995201110839844,0.86,3.5982070780464532
