horizon,bias,w,val_mae_final
1,1.20794677734375,0.31,2.5405474062948836
2,1.4177627563476562,0.59,3.302513835414649
3,1.5203628540039062,0.77,3.5866345357939178
4,1.648956298828125,0.8,3.6694544870984034
5,1.637176513671875,0.86,3.732271724477783
6,1.7326202392578125,0.89,3.748385975765983
7,1.872711181640625,0.92,3.7507392318003023
