doy_int,clim
1,26.838541666666664
2,27.248958333333334
3,27.41875
4,27.59375
5,26.98125
6,26.87708333333333
7,26.987499999999997
8,26.769791666666666
9,26.736458333333335
10,26.769791666666666
11,27.114583333333332
12,26.44375
13,26.117708333333333
14,26.369791666666664
15,26.526041666666668
16,26.84375
17,27.0375
18,26.928124999999998
19,26.690625
20,26.926041666666663
21,27.21875
22,27.282291666666666
23,27.209374999999998
24,27.271875
25,26.913541666666667
26,27.204166666666666
27,27.246875
28,27.617708333333333
29,26.96458333333333
30,26.809375
31,27.329166666666666
32,27.815624999999997
33,27.839583333333334
34,27.926041666666666
35,28.17083333333333
36,28.188541666666666
37,28.13958333333333
38,28.227083333333333
39,28.152083333333334
40,28.378125
41,28.242708333333333
42,27.909374999999997
43,27.72083333333333
44,27.48125
45,27.686458333333334
46,27.894791666666666
47,27.648958333333333
48,27.73645833333333
49,27.704166666666666
50,27.829166666666666
51,27.331249999999997
52,27.25208333333333
53,27.08020833333333
54,27.453124999999996
55,27.660416666666663
56,27.838541666666664
57,28.268749999999997
58,28.385416666666664
59,28.463541666666664
60,28.786458333333336
61,28.730208333333334
62,28.82395833333333
63,28.793749999999996
64,28.386458333333334
65,28.016666666666666
66,28.027777777777775
67,28.2
68,27.972222222222218
69,27.594444444444445
70,28.276388888888885
71,28.281944444444445
72,28.64027777777778
73,28.2
74,28.10972222222222
75,28.32638888888889
76,28.41388888888889
77,28.480555555555554
78,28.693055555555556
79,28.709722222222222
80,28.715277777777782
81,28.784722222222218
82,29.295833333333334
83,29.080555555555552
84,28.94861111111111
85,29.147222222222222
86,29.295833333333334
87,29.126388888888886
88,28.71388888888889
89,28.641666666666666
90,28.381944444444443
91,28.05972222222222
92,28.641666666666666
93,27.38333333333333
94,27.59583333333333
95,27.955555555555552
96,28.47083333333333
97,28.400000000000002
98,28.58611111111111
99,28.652777777777782
100,28.36111111111111
101,28.629166666666666
102,28.65416666666667
103,28.855555555555554
104,28.8
105,27.690277777777776
106,27.402777777777782
107,28.009722222222223
108,28.17083333333333
109,28.270833333333332
110,28.951388888888886
111,29.10694444444444
112,28.7375
113,28.916666666666668
114,29.21388888888889
115,29.27916666666667
116,29.373611111111114
117,29.472222222222218
118,29.534722222222218
119,28.224999999999998
120,28.277777777777782
121,28.541666666666668
122,28.98611111111111
123,28.719444444444445
124,28.974999999999998
125,29.631944444444446
126,29.84861111111111
127,29.48888888888889
128,28.36111111111111
129,28.191666666666663
130,28.468055555555555
131,28.865277777777777
132,28.66944444444444
133,28.938888888888886
134,28.633333333333336
135,28.862499999999997
136,28.330555555555552
137,27.822222222222223
138,27.751388888888886
139,27.990277777777777
140,28.381944444444446
141,27.79444444444444
142,27.116666666666664
143,27.204166666666666
144,27.802777777777777
145,27.308333333333334
146,27.051388888888884
147,26.498611111111114
148,26.674999999999997
149,27.162499999999998
150,27.46388888888889
151,28.068055555555556
152,27.6375
153,27.7375
154,27.756944444444443
155,27.787499999999998
156,27.600000000000005
157,27.67638888888889
158,27.184722222222224
159,27.245833333333334
160,27.6875
161,26.947222222222223
162,27.78333333333333
163,26.947222222222223
164,27.394444444444442
165,27.895833333333332
166,27.779166666666665
167,27.58611111111111
168,27.718055555555555
169,27.623611111111114
170,27.522222222222222
171,27.705555555555552
172,27.213888888888885
173,27.32361111111111
174,27.508333333333336
175,27.39027777777778
176,27.365277777777777
177,27.63055555555555
178,27.936111111111114
179,27.245833333333334
180,27.944444444444443
181,27.677777777777777
182,27.35138888888889
183,27.373611111111114
184,27.677777777777777
185,27.938888888888886
186,27.083333333333332
187,26.811111111111114
188,27.212500000000002
189,26.545833333333334
190,26.343055555555555
191,26.895833333333332
192,27.3625
193,27.194444444444443
194,26.869444444444444
195,26.797222222222217
196,26.51527777777778
197,27.409722222222218
198,27.058333333333334
199,26.88611111111111
200,26.811111111111106
201,26.616666666666664
202,26.495833333333334
203,26.91111111111111
204,27.00277777777778
205,27.497222222222224
206,27.01527777777778
207,27.337500000000002
208,27.176388888888884
209,27.291666666666668
210,27.255555555555556
211,27.162499999999998
212,27.391666666666666
213,27.188888888888886
214,27.527777777777782
215,27.315277777777776
216,27.40138888888889
217,27.35694444444444
218,27.243055555555557
219,27.4375
220,27.180555555555554
221,27.530555555555555
222,27.319444444444443
223,27.161111111111108
224,27.10694444444444
225,27.391666666666666
226,27.3125
227,26.9875
228,27.144444444444446
229,27.222222222222218
230,27.162499999999998
231,26.883333333333336
232,26.834722222222222
233,27.17916666666667
234,27.316666666666666
235,27.337499999999995
236,27.3125
237,26.763888888888886
238,26.405555555555555
239,26.748611111111114
240,26.568055555555556
241,26.804166666666664
242,26.865277777777777
243,26.83888888888889
244,26.72083333333333
245,26.83611111111111
246,26.747222222222224
247,26.436111111111114
248,26.416666666666668
249,26.555555555555554
250,26.376388888888886
251,26.73888888888889
252,26.644444444444446
253,26.54722222222222
254,26.88611111111111
255,26.82361111111111
256,26.843055555555555
257,26.47361111111111
258,26.231944444444448
259,26.53333333333333
