target,mae_overall_final,mae_h1_final,mae_overall_baseline,mae_overall_raw,horizon,mae_final,mae_baseline,mae_raw
temp_avg,0.6993190406423871,0.5117633906816487,0.8679295427471919,0.667858605224797,,,,
temp_avg,,,,,1.0,0.5117633906816487,0.5677905440393921,0.5869188674765803
temp_avg,,,,,2.0,0.6605603665223779,0.7770417413961676,0.6470862495165557
temp_avg,,,,,3.0,0.7130016616686277,0.889542709317154,0.6753183234519322
temp_avg,,,,,4.0,0.7405037458317683,0.9108373942139006,0.6909673914162852
temp_avg,,,,,5.0,0.7553361012129305,0.941527389187662,0.6939721405986063
temp_avg,,,,,6.0,0.7625862901903799,0.995441619418988,0.6946482923021929
temp_avg,,,,,7.0,0.7514817283889771,0.9933254016570789,0.6860989718114268
rh_avg,3.655200128516083,2.7445009338888937,5.361884856764842,3.5944864065866287,,,,
rh_avg,,,,,1.0,2.7445009338888937,3.214252471923828,3.3649101894878077
rh_avg,,,,,2.0,3.393744800996205,4.575905218097825,3.4216987376093533
rh_avg,,,,,3.0,3.6565222450971824,5.581476333745676,3.5211093870710197
rh_avg,,,,,4.0,3.860352845400046,5.9127205235048255,3.5958168114792337
rh_avg,,,,,5.0,3.9090561332454703,6.110027908282691,3.6542836457573937
rh_avg,,,,,6.0,3.9799280585286336,6.107822736989821,3.7490753768878395
rh_avg,,,,,7.0,4.04229588245615,6.030988804809231,3.854510697813751
